filename,textdate_from,textdate_to,author,recipient,large_region,year,letter_type,script_type,letter_type2,script_type2,id,bi,ms,fn,wgr,agr,lcinf,class,lclet,wc,st,date,X
1469_103_m1700,17050601,17050630,JohnMurrayofBroughton,unspecified,South-East,1705,autograph,non-secretary,informationunavailable,informationunavailable,1826,informationunavailable,NRSGD101421135,MurrayBJohn7050600,male,unspecified,Borders,unspecified,Callie,338,acopyintheCSCarchive,1705June,NA
721_85_m1600,16250406,16250406,"ThomasHamilton,1stEarlofHaddington,LordBinning","WilliamDouglas,7thEarlofMorton",South-East,1625,autograph,secretary,informationunavailable,informationunavailable,584,informationunavailable,NLSMS8068,1Haddington6250406,male,male,Borders,unspecified,Edinburgh,338,acopyintheCSCarchive,1625April6,NA
220_81_f1650,16950829,16950829,"ChristianLeslie,MarchionessofMontrose","AnnaWemyss,CountessofLeven",South-East,1695,autograph,italic,informationunavailable,informationunavailable,509,informationunavailable,NRSGD26134322,LeslieMChristian6950829,female,female,Fife,unspecified,Kinross,337,acopyintheCSCarchive,1695August29,NA
120_102_f1600,16171209,16171209,"IsabellaSeton,CountessofPerth","AnnaLivingston,CountessofEglinton",South-East,1617,autograph,signature,non-autograph,secretary,187,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,55",NRSGD35132,SetonPIsabella6171209,female,female,Lothian,unspecified,Seton,336,transcribedinsitu,1617December9,NA
68_50_f1600,16170908,16170908,"AnnaHay,CountessofWinton","AnnaLivingston,CountessofEglinton",Central,1617,autograph,thesignature,non-autograph,secretary,165,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,53",NRSGD35131,HayWAnna6170908,female,female,Perthshire,unspecified,Seton,336,acopyintheCSCarchive,1617September8,NA
1415_49_m1700,17151122,17151122,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1715,autograph,non-secretary,informationunavailable,informationunavailable,1780,informationunavailable,NLSADVMS13.1.8,23Mar7151122,male,male,Stirlingshire,unspecified,Perth,334,acopyintheCSCarchive,1715November22,NA
307_16_f1700,17160321,17160321,AnneHay,"MargaretHamilton,Countessofthe4thEarlofPanmure,LadyNairn",Unlocalised,1716,autograph,non-secretary,informationunavailable,informationunavailable,1230,informationunavailable,NRSGD451424316,HayAnneH7160321,female,female,unlocalised,unspecified,Hamilton,334,acopyintheCSCarchive,1716March21,NA
40_22_f1600,16130602,16130602,"JeanDrummond,CountessofRoxburgh","AnnaLivingston,CountessofEglinton",Central,1613,autograph,italic,informationunavailable,informationunavailable,150,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,34",NRSGD3554,DrummondRJean6130602,female,female,Perthshire,unspecified,Bath,334,acopyintheCSCarchive,1613June2,NA
324_33_f1700,17070827,17070827,AnneMackenzie,unspecified,North,1707,autograph,non-secretary,informationunavailable,informationunavailable,1247,informationunavailable,informationunavailable,MackenzieAnne7070827,female,unspecified,Ross,unspecified,unspecified,331,acopyintheCSCarchive,1707August27,NA
369_25_m1540,15440925,15440925,"WilliamCunningham,4thEarlofGlencairn","MaryofLorraine,QueenDowager",South-West,1544,autograph,secretary,informationunavailable,informationunavailable,76,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,84",NRSSP21,4Glencairn5440925,male,royal,Ayrshire,unspecified,Finlaystone,331,transcribedinsitu,1544September25,NA
106_88_f1600,16181113,16181113,"MargaretMontgomery,CountessDowagerofWinton","AnnaLivingston,CountessofEglinton",South-East,1618,autograph,signature,non-autograph,secretary,194,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,62",NRSGD35140,MontgomeryWMargaret6181113,female,female,Lothian,unspecified,Seton,330,acopyintheCSCarchive,1618November13,NA
1137_32_m1650,16920526,16920526,"JohnCampbellofGlenorchy,1stEarlofBreadalbane","AlexanderCampbellofBarcaldine,Lieutenant,hischamberlain",South-West,1692,autograph,non-secretary,informationunavailable,informationunavailable,1613,informationunavailable,NRSGD8711,1Breadalbane6920526,male,male,Argyllshire,unspecified,Edinburgh,330,acopyintheCSCarchive,1692May26,NA
1192_87_m1650,16711106,16711106,"AlexanderHume,4thEarlofHume","PatrickHumeofPolwarth,1stEarlofMarchmont,hisbrother",South-East,1671,autograph,non-secretary,informationunavailable,informationunavailable,1579,informationunavailable,NRSGD15897111,4Hume6711106,male,male,Borders,unspecified,Seufske,330,acopyintheCSCarchive,1671November6,NA
1384_18_m1700,17000130,17001230,"JohnMurray,2ndMarquisofAtholl,1stDukeofAtholl","DavidMelville,laterLeslie,3rdEarlofLeven",Central,1700,autograph,non-secretary,informationunavailable,informationunavailable,659,informationunavailable,NASGD26134462,1DAtholl7000030,male,male,Perthshire,unspecified,Dunkeld,330,acopyintheCSCarchives,170030,NA
1210_105_m1650,16670621,16670621,"HughMontgomery,7thEarlofEglinton","AnneMontgomery,CountessofFindlater,hisdaughter",South-West,1667,informationunavailable,informationunavailable,informationunavailable,informationunavailable,554,informationunavailable,NRSGD248556336,7Eglinton6670621,male,female,Ayrshire,unspecified,Edinburgh,329,transcribedinsitu,1667June21,NA
1434_68_m1700,17160618,17160618,"JohnArbuthnott,5thViscountofArbuthnott","JohnGordon(Sutherland),16thEarlofSutherland,LordStrathnaver",North-East,1716,autograph,non-secretary,informationunavailable,informationunavailable,1770,informationunavailable,NLSDep313532,5VArbuthnott7160618,male,male,Aberdeenshire,unspecified,Invermark,329,acopyintheCSCarchive,1716June18,NA
52_34_f1600,16001107,16001107,"JaneGordon,CountessofSutherland",GeorgeOgilvyofDunlugus,North-East,1600,autograph,non-secretary,informationunavailable,informationunavailable,1039,informationunavailable,NASGD1851962,GordonBSJane6001107,female,male,Aberdeenshire,unspecified,Dornoch,329,acopyintheCSCarchive,1600November7,NA
1391_25_m1700,17250509,17250509,"JohnHayofCromlix,1stDukeofInverness",unspecified,Central,1725,autograph,non-secretary,informationunavailable,informationunavailable,1807,informationunavailable,NLSADVMS13.1.8,1DInverness7250509,male,unspecified,Perthshire,unspecified,Rome,328,acopyintheCSCarchive,1725May9,NA
39_21_f1600,16130317,16130317,"JeanDrummond,CountessofRoxburgh","AnnaLivingston,CountessofEglinton",Central,1613,autograph,italic,informationunavailable,informationunavailable,149,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,33",NRSGD3549,DrummondRJean6130317,female,female,Perthshire,unspecified,unspecified,328,acopyintheCSCarchive,1613March17,NA
466_122_m1540,15460408,15460408,AdamOtterburnofAuldhameandReidhall,"DavidBeaton,Cardinal,ArchbishopofSt.Andrews",South-East,1546,autograph,secretary,informationunavailable,informationunavailable,47,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,120",NRSSP22,OtterburnARAdam5460408,male,male,Lothian,unspecified,Edinburgh,328,transcribedinsitu,1546April8,NA
57_39_f1600,16360613,16360613,MargaretHamilton,RobertGordonofGordonstoun,Unlocalised,1636,autograph,italic,informationunavailable,informationunavailable,1044,informationunavailable,"NLSDep17565,Bundle3",HamiltonMargaret6360613,female,male,unlocalised,unspecified,London,328,acopyintheCSCarchive,1636June13,NA
5_5_f1540,15480320,15480320,"MarionHaliburton,LadyHome","MaryofLorraine,QueenDowager",South-East,1548,autograph,secretary,informationunavailable,informationunavailable,120,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,205",NRSSP23,HaliburtonHMarion5480320,female,royal,Borders,unspecified,Home,327,acopyintheCSCarchive,1548March20,NA
662_26_m1600,16250329,16250329,"JohnErskine,19th2ndEarlofMar","GeorgeGordon,1stMarquisofHuntly",South-East,1625,autograph,non-secretary,informationunavailable,informationunavailable,757,informationunavailable,NRSGD12415605,19Mar6250329,male,male,Stirlingshire,unspecified,Stirling,327,acopyintheCSCarchive,1625March29,NA
1412_46_m1700,17150921,17150921,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1715,autograph,non-secretary,informationunavailable,informationunavailable,1777,informationunavailable,NLSADVMS13.1.8,23Mar7150921,male,male,Stirlingshire,unspecified,Mulen,326,acopyintheCSCarchive,1715September21,NA
355_11_m1540,15480610,15480610,"HenryStewart,1stLordMethven","MaryofLorraine,QueenDowager",Central,1548,autograph,secretary,informationunavailable,informationunavailable,103,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,174",NRSSP23,1LMethven5480610,male,royal,Perthshire,unspecified,Methven,326,transcribedinsitu,1548June10,NA
1150_45_m1650,16851123,16851123,"PatrickHume,1stEarlofMarchmont","GrizelKer,CountessofMarchmont,hiswife",South-East,1685,autograph,non-secretary,informationunavailable,informationunavailable,1691,informationunavailable,NRSGD15810191,1Marchmont6851123,male,female,Borders,unspecified,Bordeaux,325,acopyintheCSCarchive,1685November23,NA
1246_141_m1650,16870427,16870427,JamesChalmer,RobertGordonofGordonstoun,North,1687,autograph,non-secretary,informationunavailable,informationunavailable,1640,informationunavailable,"NLSDep17570,Bundle2",ChalmerJames6870427,male,male,Moray,unspecified,Gordonstoun,324,acopyintheCSCarchive,1687April27,NA
213_74_f1650,16650703,16650703,"MarieLeslie,CountessofEglinton","AnneMontgomery,CountessofFindlater",South-East,1665,autograph,italic,informationunavailable,informationunavailable,898,informationunavailable,NRSGD24855636,LeslieEMarie6650703,female,female,Fife,unspecified,Montgomerieston,324,acopyintheCSCarchive,1665July3,NA
1188_83_m1650,16690306,16690306,"JamesOgilvy,3rdEarlofFindlater","AnneMontgomery,CountessofFindlater,hiswife",North-East,1669,autograph,non-secretary,informationunavailable,informationunavailable,792,informationunavailable,NRSGD248556421,3Findlater6690306,male,female,Angus,unspecified,Edinburgh,323,acopyintheCSCarchive,1669March6,NA
1233_128_m1650,16650113,16650113,"AlexanderBurnet,ArchbishopofGlasgow","HughMontgomery,7thEarlofEglinton",Unspecified,1665,autograph,non-secretary,informationunavailable,informationunavailable,1625,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,221",NRSGD35637,BurnetAlexander6650113,male,male,Unspecified,Professional,Glasgow,323,acopyintheCSCarchive,1665January13,NA
1240_135_m1650,16700421,16700421,GeorgeCampbell,unspecified,South-West,1670,autograph,secretary,informationunavailable,informationunavailable,1702,informationunavailable,NLSMS9759,CampbellGeorge6700421,male,unspecified,Argyllshire,unspecified,Drimsynie,323,acopyintheCSCarchive,1670April21,NA
1448_82_m1700,17010408,17010408,JohnCampbellofMamore,PatrickCampbellofBarcaldine,South-West,1701,autograph,non-secretary,informationunavailable,informationunavailable,1792,informationunavailable,NRSGD1706324,CampbellMJohn7010408,male,male,Argyllshire,unspecified,Inveraray,322,acopyintheCSCarchive,1701April8,NA
1488_122_m1700,17390516,17390516,JohnSinclair,JamesSinclairofMey,North,1739,autograph,non-secretary,informationunavailable,informationunavailable,1841,informationunavailable,NRSGD9667534,SinclairJohn7390516,male,male,Sutherland,unspecified,Lyth,322,transcribedinsitu,1739May16,NA
1158_53_m1650,16510923,16510923,"ArchibaldCampbell,1stMarquisofArgyll",LadyMontgomery,South-West,1651,autograph,non-secretary,informationunavailable,informationunavailable,1566,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,195",NRSGD35505,1MArgyll6510923,male,female,Argyllshire,unspecified,Inveraray,321,transcribedinsitu,1651September23,NA
728_92_m1600,16310202,16310202,"GeorgeHayofKinfauns,1stEarlofKinnoull","WilliamDouglas,7thEarlofMorton",Central,1631,autograph,secretary,informationunavailable,informationunavailable,658,informationunavailable,NLSMS8241(61),1Kinnoull6310202,male,male,Perthshire,unspecified,Edinburgh,321,acopyintheCSCarchives,1631February2,NA
128_110_f1600,16001115,16001115,"MarieStewart,CountessofMar","CharlesErskine,herson",South-East,1600,autograph,italic,informationunavailable,informationunavailable,453,informationunavailable,NLSMS507047-48,StewartMMarie6001115,female,male,Stirlingshire,unspecified,Stirling,320,acopyintheCSCarchive,1600November15,NA
1424_58_m1700,17221230,17221230,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1722,autograph,non-secretary,informationunavailable,informationunavailable,1789,informationunavailable,NLSADVMS13.1.8,23Mar7221230,male,male,Stirlingshire,unspecified,Paris,320,acopyintheCSCarchive,1722December30,NA
1224_119_m1650,16780726,16780726,J.BethuneofBalfour,"PatrickHume,1stEarlofMarchmont",North-East,1678,autograph,secretary,informationunavailable,informationunavailable,1699,informationunavailable,NRSGD9732,BethuneBJ6780726,male,male,Aberdeenshire,unspecified,Kilrenny,319,acopyintheCSCarchive,1678July26,NA
1452_86_m1700,17161110,17161110,LaurenceCraigie,"AlexanderScrimgeour,professorofDivinity",Unlocalised,1716,autograph,non-secretary,informationunavailable,informationunavailable,1796,informationunavailable,NRSGD1371102,CraigieLaurence7161110,male,male,unlocalised,unspecified,Edinburgh,319,transcribedinsitu,1716November10,NA
208_69_f1650,16650925,16650925,"AnneHamilton,3rdDuchessofHamilton","AnneMontgomery,CountessofFindlater",Central,1665,autograph,non-secretary,informationunavailable,informationunavailable,706,informationunavailable,NRSGD248556310,HamiltonHAnne6650925,female,female,Lanarkshire,unspecified,Hamilton,319,acopyintheCSCarchive,1665September25,NA
308_17_f1700,17160406,17160406,AnneHay,"MargaretHamilton,Countessofthe4thEarlofPanmure,LadyNairn",Unlocalised,1716,autograph,non-secretary,informationunavailable,informationunavailable,1231,informationunavailable,NRSGD451424317,HayAnneH7160406,female,female,unlocalised,unspecified,Hamilton,318,acopyintheCSCarchive,1716April6,NA
1231_126_m1650,16650103,16650103,"AlexanderBurnet,ArchbishopofGlasgow","HughMontgomery,7thEarlofEglinton",Unspecified,1665,autograph,non-secretary,informationunavailable,informationunavailable,1623,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,219",NRSGD35634,BurnetAlexander6650103,male,male,Unspecified,Professional,Glasgow,317,acopyintheCSCarchive,1665January3,NA
1111_6_m1650,16550418,16550418,"JohnGordon,14thEarlofSutherland",LudovickGordonorGordonstoun,North,1655,autograph,non-secretary,informationunavailable,informationunavailable,377,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,170",NLSDep313,14Sutherland6550418,male,male,Sutherland,unspecified,Dunrobin,316,acopyintheCSCarchive,1655April18,NA
460_116_m1540,15431126,15431126,AdamOtterburnofAuldhameandReidhall,"MaryofLorraine,QueenDowager",South-East,1543,autograph,secretary,informationunavailable,informationunavailable,25,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,37",NRSSP21,OtterburnARAdam5431126,male,royal,Lothian,unspecified,Edinburgh,316,transcribedinsitu,1543November26,NA
463_119_m1540,15460204,15470204,AdamOtterburnofAuldhameandReidhall,"MaryofLorraine,QueenDowager",South-East,1546,autograph,secretary,informationunavailable,informationunavailable,34,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,126",NRSSP22,OtterburnARAdam5460204,male,royal,Lothian,unspecified,London,316,transcribedinsitu,15467February4,NA
484_140_m1540,15451016,15451016,AlexanderShawofSauchie,"MaryofLorraine,QueenDowager",Central,1545,autograph,secretary,informationunavailable,informationunavailable,127,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,107",NRSSP22,ShawSAlexander5451016,male,royal,Lanarkshire,unspecified,Hamilton,316,acopyintheCSCarchive,1545October16,NA
1234_129_m1650,16650406,16650406,"AlexanderBurnet,ArchbishopofGlasgow","HughMontgomery,7thEarlofEglinton",Unspecified,1665,autograph,non-secretary,informationunavailable,informationunavailable,1626,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,223",NRSGD35642,BurnetAlexander6650406,male,male,Unspecified,Professional,Glasgow,315,acopyintheCSCarchive,1665April6,NA
254_115_f1650,16960430,16960430,"MargaretMackenzie,CountessofWemyss","AnnaWemyss,CountessofLeven,herdaughter",South-East,1696,autograph,non-secretary,informationunavailable,informationunavailable,1180,informationunavailable,NRSGD261340130,MackenzieWMargaret6960430,female,female,Fife,unspecified,unspecified,314,transcribedinsitu,1696April30,NA
1460_94_m1700,17021015,17021015,"JamesHamilton,LordPencaitland","JamesHamilton,EarlofArran,4thDukeofHamilton",South-East,1702,autograph,non-secretary,informationunavailable,informationunavailable,1804,informationunavailable,NRSGD406110941,HamiltonPJames7021015,male,male,Lothian,unspecified,Edinburgh,312,acopyintheCSCarchive,1702October15,NA
1394_28_m1700,17260123,17260123,"JohnHayofCromlix,1stDukeofInverness",unspecified,Central,1726,autograph,non-secretary,informationunavailable,informationunavailable,1810,informationunavailable,NLSADVMS13.1.8,1DInverness7260123,male,unspecified,Perthshire,unspecified,unspecified,311,acopyintheCSCarchive,1726January23,NA
456_112_m1540,15430104,15440104,AdamOtterburnofAuldhameandReidhall,"PatrickHepburn,3rdEarlofBothwell",South-East,1543,autograph,secretary,informationunavailable,informationunavailable,44,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,44",NRSSP21,OtterburnARAdam5430104,male,male,Lothian,unspecified,Reidhall,311,transcribedinsitu,15434January4,NA
485_141_m1540,15451021,15451021,JohnSomerville,"MaryofLorraine,QueenDowager",Central,1545,autograph,italic,informationunavailable,informationunavailable,109,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,108",NRSSP22,SomervilleJohn5451021,male,royal,Lanarkshire,unspecified,Cowthally,311,transcribedinsitu,1545October21,NA
1229_124_m1650,16640627,16640627,"AlexanderBurnet,ArchbishopofGlasgow","HughMontgomery,7thEarlofEglinton",Unspecified,1664,autograph,non-secretary,informationunavailable,informationunavailable,1621,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,217",NRSGD35623,BurnetAlexander6640627,male,male,Unspecified,Professional,Glasgow,310,acopyintheCSCarchive,1664June27,NA
1419_53_m1700,17160913,17160913,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1716,autograph,non-secretary,informationunavailable,informationunavailable,1784,informationunavailable,NLSADVMS13.1.8,23Mar7160913,male,male,Stirlingshire,unspecified,Avignon,310,acopyintheCSCarchive,1716September13,NA
413_69_m1540,15440401,15440430,WilliamCunninghamofGlengarnock,"MaryofLorraine,QueenDowager",South-West,1544,autograph,secretary,informationunavailable,informationunavailable,64,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,55",NRSSP21,CunninghamGWilliam5440400,male,royal,Ayrshire,unspecified,Bendalo,310,acopyintheCSCarchive,1544April,NA
1219_114_m1650,16580303,16580303,ThomasAnnand,RobertFarquharofMuny,Unspecified,1658,autograph,secretary,informationunavailable,informationunavailable,1601,informationunavailable,"NLSDep17567,Bundle3",AnnandThomas6580303,male,male,Unspecified,Professional,Edinburgh,309,acopyintheCSCarchive,1658March3,NA
663_27_m1600,16270428,16270428,"JohnErskine,19th2ndEarlofMar","WilliamDouglas,7thEarlofMorton",South-East,1627,autograph,non-secretary,informationunavailable,informationunavailable,759,informationunavailable,NLSMS8042,19Mar6270428,male,male,Stirlingshire,unspecified,Edinburgh,308,acopyintheCSCarchive,1627April28,NA
1117_12_m1650,16600920,16600920,"JohnGordon,14thEarlofSutherland","JeanWemyss,CountessofSutherland,hisdaughter-in-law",North,1660,autograph,non-secretary,informationunavailable,informationunavailable,380,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,174",NLSDep313488,14Sutherland6600920,male,female,Sutherland,unspecified,Dunrobin,307,acopyintheCSCarchive,1660September20,NA
130_112_f1600,16400113,16400113,"MarieStewart,CountessofMar","CharlesErskine,herson",South-East,1640,autograph,italic,informationunavailable,informationunavailable,455,informationunavailable,NLSMS507058,StewartMMarie6400113,female,male,Stirlingshire,unspecified,Stirling,307,acopyintheCSCarchive,1640January13,NA
90_72_f1600,16141021,16141021,"AnnaLivingston,CountessofEglinton",JohnMurrayofLochmaben,South-East,1614,autograph,italic,informationunavailable,informationunavailable,171,informationunavailable,"NLSAdvMS33.1.1,vol.5",LivingstonEAnna6141021,female,male,Lothian,unspecified,Seton,307,transcribedinsitu,1614October21,NA
1470_104_m1700,17030306,17030306,"AlexanderRobertson,17thofStrowan,Brigadier","MarionBaillie,LadyRobertsonofStrowan,hismother",Central,1703,autograph,non-secretary,informationunavailable,informationunavailable,1827,informationunavailable,NLSADVMS13.1.8,Robertson17SAlexander7030306,male,female,Perthshire,unspecified,Rotterdam,306,acopyintheCSCarchive,1703March6,NA
718_82_m1600,16001211,16001211,"ThomasHamilton,1stEarlofHaddington,LordBinning",unspecified,South-East,1600,autograph,secretary,informationunavailable,informationunavailable,1347,informationunavailable,"NLSAdvMS33.1.1,vol.9",1Haddington6001211,male,unspecified,Borders,unspecified,Edinburgh,306,acopyintheCSCarchive,1600December11,NA
81_63_f1600,16001130,16001130,"AgnesKeith,CountessofMorton","WilliamDouglas,7thEarlofMorton,herhusband",North-East,1600,autograph,italic,informationunavailable,informationunavailable,639,informationunavailable,NLSMS7831,KeithMAgnes6001130,female,male,Aberdeenshire,unspecified,Aberdour,306,acopyintheCSCarchive,1600November30,NA
137_119_f1600,16000820,16000820,"AnneVilliers,CountessofMorton","WilliamDouglas,7thEarlofMorton,herfather-in-law",South-East,1600,autograph,italic,informationunavailable,informationunavailable,1060,informationunavailable,NLSMS7853,VilliersMAnne6000820,female,male,Lothian,unspecified,unspecified,305,acopyintheCSCarchive,1600August20,NA
1435_69_m1700,17231209,17231209,"JohnGray,9thLordGray",unspecified,North-East,1723,autograph,secretary,informationunavailable,informationunavailable,1772,informationunavailable,NRSGD451424335,9LGray7231209,male,unspecified,Aberdeenshire,unspecified,Gray,305,acopyintheCSCarchive,1723December9,NA
701_65_m1600,16200114,16200114,"AlexanderSeton,1stEarlofDunfermline",JohnMurrayofLochmaben,South-East,1620,autograph,secretary,informationunavailable,informationunavailable,1336,informationunavailable,"NLSAdvMS33.1.1,vol.9",1Dunfermline6200114,male,male,Fife,unspecified,Edinburgh,304,acopyintheCSCarchive,1620January14,NA
725_89_m1600,16160502,16160502,"GeorgeHayofKinfauns,1stEarlofKinnoull",KingJamesVI,Central,1616,autograph,non-secretary,informationunavailable,informationunavailable,1471,informationunavailable,"NLSAdvMS33.1.1,vol.7",1Kinnoull6160502,male,royal,Perthshire,unspecified,London,304,acopyintheCSCarchive,1616May2,NA
695_59_m1600,16060904,16060904,"AlexanderSeton,1stEarlofDunfermline",KingJamesVI,South-East,1606,autograph,secretary,informationunavailable,informationunavailable,1530,informationunavailable,"NLSAdvMS33.1.1,vol.1",1Dunfermline6060904,male,royal,Fife,unspecified,Niddry,303,acopyintheCSCarchive,1606September4,NA
1498_8_r1600,16000101,16001231,KingJamesVI,unspecified,Unspecified,1600,autograph,italic,informationunavailable,informationunavailable,1011,informationunavailable,"NLSAdvMS33.1.1,vol.1",JamesVI6000000III,male,unspecified,Unspecified,Court,Edinburgh,302,acopyintheCSCarchive,1600,NA
69_51_f1600,16181124,16181124,"AnnaHay,CountessofWinton","AnnaLivingston,CountessofEglinton",Central,1618,autograph,thesignature,non-autograph,secretary,166,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,63",NRSGD35142,HayWAnna6181124,female,female,Perthshire,unspecified,Seton,302,transcribedinsitu,1618November24,NA
1467_101_m1700,17281125,17281125,HughMonro,"JohnSinclair,2ndofBarrock",North,1728,autograph,non-secretary,informationunavailable,informationunavailable,1824,informationunavailable,NRSGD96673258,MonroHugh7281125,male,male,Sutherland,unspecified,Thurso,301,acopyintheCSCarchive,1728November25,NA
774_138_m1600,16000101,16001231,"JohnErskine,later20th3rdEarlofMar",unspecified,South-East,1600,autograph,non-secretary,informationunavailable,informationunavailable,771,informationunavailable,NLSMS7973,20Mar6000000,male,unspecified,Stirlingshire,unspecified,unspecified,301,acopyintheCSCarchive,1600,NA
482_138_m1540,15440528,15440528,WalterScottofBranxholmandBuccleuch,"MaryofLorraine,QueenDowager",South-East,1544,autograph,secretary,informationunavailable,informationunavailable,126,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,68",NRSSP21,ScottBBWalter5440528,male,royal,Borders,unspecified,Branxholm,300,acopyintheCSCarchive,1544May28,NA
175_36_f1650,16610828,16610828,BarbaraForbes,herbrother,North-East,1661,autograph,signature,non-autograph,secretary,624,informationunavailable,"NLSDep17568,Bundle1",ForbesBarbara6610828,female,male,Aberdeenshire,unspecified,FortRoss,299,acopyintheCSCarchive,1661August28,NA
249_110_f1650,16911006,16911006,"MargaretMackenzie(Sutherland),LadyDuffus",AlexanderSutherlandofPronsy,North,1691,autograph,non-secretary,informationunavailable,informationunavailable,1159,informationunavailable,"NLSDep17570,Bundle3",MackenzieSMargaret6911006,female,male,Sutherland,unspecified,Elgin,299,acopyintheCSCarchive,1691October6,NA
336_45_f1700,17000509,17000509,"AnnaScott,DuchessofBuccleuchandMonmouth","DavidMelville,laterLeslie,3rdEarlofLeven",South-East,1700,autograph,non-secretary,informationunavailable,informationunavailable,1259,"previouslyeditedbySirWilliamFraserinTheScottsofBuccleuch,vol.2,314",NRSGD261335927,ScottBMAnna7000509,female,male,Fife,unspecified,London,299,transcribedinsitu,1700May9,NA
408_64_m1540,15480802,15480802,"HewCampbellofLoudoun,sheriffofAyr","MaryofLorraine,QueenDowager",South-West,1548,autograph,secretary,informationunavailable,informationunavailable,57,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,179",NRSSP23,CampbellLHew5480802,male,royal,Ayrshire,unspecified,Dunoon,299,transcribedinsitu,1548August2,NA
708_72_m1600,16000314,16000314,"ThomasHamilton,1stEarlofHaddington,LordBinning",KingJamesVI,South-East,1600,autograph,secretary,informationunavailable,informationunavailable,1337,informationunavailable,"NLSAdvMS33.1.1,vol.8",1Haddington6000314,male,royal,Borders,unspecified,Edinburgh,299,acopyintheCSCarchive,1600March14,NA
379_35_m1540,15440526,15440526,"WilliamSinclair,4thLordSinclair","MaryofLorraine,QueenDowager",South-East,1544,autograph,secretary,informationunavailable,informationunavailable,117,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,67",NRSSP21,4LSinclair5440526,male,royal,Fife,unspecified,Ravenscraig,297,acopyintheCSCarchive,1544May26,NA
393_49_m1540,15880107,15880107,"WilliamDouglasofGlenbervie,afterwards9thEarlofAngus",JohnOgilvyofInverquharity,South-East,1588,autograph,signature,non-autograph,secretary,1304,"previouslyeditedbySirWilliamFraserintheDouglasBook,vol.4,225",NRSGD205134,9Angus5880107,male,male,Lothian,unspecified,Edinburgh,297,acopyintheCSCarchive,1588January7,NA
671_35_m1600,16331129,16331129,"JohnErskine,19th2ndEarlofMar","WilliamDouglas,7thEarlofMorton",South-East,1633,autograph,non-secretary,informationunavailable,informationunavailable,767,informationunavailable,NLSMS8049,19Mar6331129,male,male,Stirlingshire,unspecified,Stirling,297,acopyintheCSCarchive,1633November29,NA
705_69_m1600,16000125,16000125,"ThomasHamilton,1stEarlofHaddington,LordBinning",unspecified,South-East,1600,autograph,secretary,informationunavailable,informationunavailable,1349,informationunavailable,"NLSAdvMS33.1.1,vol.9",1Haddington6000125,male,unspecified,Borders,unspecified,Edinburgh,296,acopyintheCSCarchive,1600January25,NA
372_28_m1540,15441113,15441113,"GeorgeGordon,4thEarlofHuntly","MaryofLorraine,QueenDowager",North-East,1544,autograph,secretary,informationunavailable,informationunavailable,81,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,92",NRSSP22,4Huntly5441113,male,royal,Aberdeenshire,unspecified,Huntly,295,acopyintheCSCarchive,1544November13,NA
